protein name,invasive counts,invasive fraction,non-invasive counts,non-invasive fraction
C9JQV6,3,0.00459,1,0.00347
SEM3D,1,0.00153,1,0.00347
A2A3E3,0,0.0,1,0.00347
E9PHA6,91,0.13914,56,0.19444
Q5T9V0,3,0.00459,0,0.0
ALG5,5,0.00765,6,0.02083
E7ET19,0,0.0,3,0.01042
GPX7,5,0.00765,5,0.01736
C9JUP5,22,0.03364,19,0.06597
F6XY72,68,0.10398,37,0.12847
H3BM54,1,0.00153,0,0.0
E5RGD2,19,0.02905,11,0.03819
MRC2,46,0.07034,22,0.07639
I3L0Q5,4,0.00612,1,0.00347
E5RHK8,105,0.16055,60,0.20833
B4DKZ7,39,0.05963,24,0.08333
F8VXU5,61,0.09327,34,0.11806
F5H376,1,0.00153,1,0.00347
B4DY38,1,0.00153,0,0.0
Q6ZWB8,1,0.00153,1,0.00347
D6RCC1,0,0.0,1,0.00347
BID,65,0.09939,30,0.10417
ITA2,40,0.06116,22,0.07639
H0Y781,2,0.00306,1,0.00347
E2QRG7,2,0.00306,1,0.00347
KIF3C,1,0.00153,0,0.0
PFD5,13,0.01988,9,0.03125
E7EXA6,7,0.0107,5,0.01736
YD286,0,0.0,1,0.00347
H7BZG0,35,0.05352,27,0.09375
M0QXZ1,9,0.01376,8,0.02778
F8VTY2,33,0.05046,17,0.05903
GPAT3,1,0.00153,0,0.0
F5H4B6,94,0.14373,68,0.23611
H3BU54,6,0.00917,6,0.02083
RNF12,2,0.00306,0,0.0
J3QQR8,1,0.00153,1,0.00347
RLA2,151,0.23089,94,0.32639
SPTB1,13,0.01988,32,0.11111
CP24A,1,0.00153,1,0.00347
H7BXY5,12,0.01835,5,0.01736
E9PEN0,1,0.00153,0,0.0
CTCF,24,0.0367,11,0.03819
CB047,10,0.01529,4,0.01389
H0Y4K8,6,0.00917,4,0.01389
RN170,3,0.00459,1,0.00347
M0R1V4,11,0.01682,11,0.03819
ZMY15,0,0.0,1,0.00347
SPRE,166,0.25382,92,0.31944
B5MC40,15,0.02294,11,0.03819
H7C193,13,0.01988,4,0.01389
P63,0,0.0,3,0.01042
CCD11,2,0.00306,0,0.0
H3BRH8,0,0.0,2,0.00694
C9JPC9,1,0.00153,0,0.0
